"year","state","dem_2p_vs","prv_2p_vs","dem_2p_ps","unemp_rate","deminc","incrunning","st_partisanship"
1976,"Alabama",0.56666723977855,0.260670397636421,NA,6.825,0,1,-0.0225649923627451
1976,"Alaska",0.381081712264192,0.373284569047511,NA,7.725,0,1,-0.00989288012080686
1976,"Arizona",0.413866969831038,0.330156048371004,NA,9.35,0,1,-0.0789704427233715
1976,"Arkansas",0.650488514781992,0.308537966338323,NA,6.7,0,1,-0.0375524278901441
1976,"California",0.490821726931818,0.430288626696177,0.481600306798276,9.15,0,1,0.0177856658496039
1976,"Colorado",0.440924561683854,0.355900596331413,0.491991504407157,6.025,0,1,-0.0359950979439311
1976,"Connecticut",0.473899832937865,0.406582636846108,0.491341293881312,9.075,0,1,0.0280089175279009
1976,"Delaware",0.527301380893124,0.3966772696011,0.519016077068598,9.475,0,1,-0.000813612729972324
1976,"Florida",0.526802018720792,0.278785547130374,NA,8.825,0,1,-0.0832249492526438
1976,"Georgia",0.669382948593174,0.247244081040114,0.662834912249999,8,0,1,-0.0813965936635993
1976,"Hawaii",0.512826312382994,0.375208122127915,NA,8.925,0,1,0.0521617798940854
1976,"Idaho",0.38267009374055,0.288447949751972,0.376594641838962,5.6,0,1,-0.119524550750826
1976,"Illinois",0.489971662563606,0.406978740021324,0.491707188038513,6.6,0,1,0.00644412378988662
1976,"Indiana",0.461512221923052,0.335222891184366,0.505222807004324,5.725,0,1,-0.0562668792429972
1976,"Iowa",0.494838341468476,0.412675178994239,0.491013104541535,3.85,0,1,-0.0151912582522191
1976,"Kansas",0.461244592374619,0.303659480574633,0.472527448514236,4.125,0,1,-0.0933967324665802
1976,"Kentucky",0.536540286466435,0.354292887109168,NA,5.3,0,1,-0.0307518859114196
1976,"Louisiana",0.529595751478807,0.302684077263415,NA,6.975,0,1,-0.0147407904094237
1976,"Maryland",0.530354199234364,0.378837767754287,0.558664130652803,6.725,0,1,0.00518719878881524
1976,"Massachusetts",0.581146221711059,0.545091298517805,0.583526463913317,9.15,0,1,0.16203394091006
1976,"Michigan",0.4725622595013,0.426591187306279,0.480646016611524,9.075,0,1,0.0430173447558497
1976,"Minnesota",0.566419819719711,0.471797555590184,0.581411835360359,5.725,0,1,0.0796830986470666
1976,"Mississippi",0.509678885287533,0.200633954047035,NA,6.425,0,1,-0.0237787711656904
1976,"Missouri",0.518419071257588,0.377056648830367,0.512468627245189,6.35,0,1,-0.00370590392244036
1976,"Montana",0.462156538540138,0.395159991189225,NA,6,0,1,-0.0158892591966932
1976,"Nevada",0.477306040711838,0.363192236171781,NA,8.65,0,1,-0.0309699786138272
1976,"New Hampshire",0.442607470471851,0.352663413688556,NA,6.325,0,1,-0.0339993265513616
1976,"New Jersey",0.488993315260493,0.373920731088814,0.453788633304243,10.5,0,1,-0.00799332381399598
1976,"New Mexico",0.487552324834512,0.374536090684648,NA,8.875,0,1,-0.0348058359268276
1976,"New York",0.534451946087019,0.413093645985883,0.526488800580615,10.2,0,1,0.0320120633704461
1976,"North Carolina",0.555532924984649,0.293724398999996,0.504150542637126,6.05,0,1,-0.0795362319866866
1976,"North Dakota",0.469619894948268,0.365706957918781,NA,3.9,0,1,-0.0532008646617304
1976,"Ohio",0.501163545966486,0.389652502202106,0.559696411935332,7.525,0,1,-0.000688149745963429
1976,"Oklahoma",0.493847794833743,0.245630965679824,NA,5.575,0,1,-0.115481577648866
1976,"Oregon",0.499128268230797,0.446599336400416,0.515959598068876,9.125,0,1,0.0181101173740747
1976,"Pennsylvania",0.513571390921736,0.398307027063451,NA,7.8,0,1,0.019850030996012
1976,"Rhode Island",0.55672377318806,0.468992453521208,NA,8.25,0,1,0.129603120564246
1976,"South Carolina",0.565661090449159,0.283466901903109,0.561540064592109,6.925,0,1,-0.0786296265582802
1976,"South Dakota",0.492569656331952,0.456708254329827,0.507432933457267,3.25,0,1,0.00961836863068449
1976,"Tennessee",0.565729445805317,0.305263832404908,NA,6.05,0,1,-0.0732357089625565
1976,"Texas",0.515985032283771,0.334268315037674,NA,5.7,0,1,-0.0180012027834396
1976,"Utah",0.350199416174056,0.280676643099881,0.383773962434397,5.45,0,1,-0.100588380533416
1976,"Vermont",0.43661363189943,0.367865834246154,NA,8.1,0,1,-0.0290567491834556
1976,"Virginia",0.493135811445363,0.307477336098306,NA,5.8,0,1,-0.0711127918962508
1976,"Washington",0.479797064322048,0.404373202112604,0.511819702658589,8.95,0,1,0.0188600259167799
1976,"West Virginia",0.580695186453323,0.363897381817132,NA,6.925,0,1,0.0173116679831717
1976,"Wisconsin",0.508616436674997,0.450195709722806,NA,5.4,0,1,0.0262440225687257
1976,"Wyoming",0.401655953948218,0.306293242739363,NA,3.85,0,1,-0.0913496003978087
1980,"Alabama",0.493236616929605,0.56666723977855,0.473310949391267,9.625,1,1,-0.0326620601888936
1980,"Alaska",0.327008143551589,0.381081712264192,NA,9.925,1,1,-0.0691477382405276
1980,"Arizona",0.317879131676649,0.413866969831038,0.325369536876524,6.975,1,1,-0.0743193697953579
1980,"Arkansas",0.496802940570765,0.650488514781992,0.521696151445984,8.15,1,1,0.0331823616637783
1980,"California",0.405333754407905,0.490821726931818,0.399657996800326,7.175,1,1,0.0142242979176187
1980,"Colorado",0.360696597871354,0.440924561683854,0.332761636855167,6.375,1,1,-0.0479182998887456
1980,"Connecticut",0.444428036772874,0.473899832937865,0.474450721547295,6.175,1,1,-0.00608964400439255
1980,"Delaware",0.487332147498226,0.527301380893124,0.45980752768036,7.95,1,1,0.0156584463507332
